,NN_model_output.net.result,Round Value,validate_df...24.,Forecasting Result,,,,,
29029,0.961467464,1,1,1,,,NN Model Prediction Raw Value,Record Numbers,Forecasting Accuracy
29724,0.96050593,1,1,1,,,>0.9,30,86.67%
29301,0.959736988,1,1,1,,,>0.8,130,85.38%
28144,0.959657056,1,0,0,,,>0.7,185,78.38%
28625,0.955258992,1,1,1,,,>0.6,168,67.86%
27486,0.940609077,1,1,1,,,>0.5,159,56.60%
27222,0.937559593,1,1,1,,,>0.4,236,50.42%
28109,0.936099586,1,1,1,,,>0.3,389,67.61%
27123,0.932565021,1,1,1,,,>0.2,681,74.74%
26711,0.926165177,1,1,1,,,>0.1,1807,86.16%
27549,0.926017577,1,1,1,,,>0,2215,94.81%
27600,0.925065719,1,1,1,,,,6000,83.90%
27853,0.920429492,1,1,1,,,,,
25835,0.91804176,1,1,1,,,,,
24528,0.917725618,1,1,1,,,,,
27959,0.915400487,1,1,1,,,,,
26174,0.915170125,1,1,1,,,,,
25646,0.913316624,1,1,1,,,,,
29802,0.912561004,1,0,0,,,,,
27140,0.911415798,1,1,1,,,,,
24094,0.911338064,1,1,1,,,,,
27651,0.908342237,1,0,0,,,,,
29116,0.90476965,1,1,1,,,,,
28663,0.904715695,1,1,1,,,,,
28634,0.903825357,1,1,1,,,,,
29841,0.903811272,1,1,1,,,,,
29756,0.901997662,1,0,0,,,,,
29492,0.901378628,1,1,1,,,,,
28959,0.900317519,1,1,1,,,,,
24328,0.900194231,1,1,1,,,,,
26298,0.898093256,1,1,1,,,,,
29151,0.898050956,1,1,1,,,,,
27731,0.894586638,1,1,1,,,,,
25434,0.892538745,1,0,0,,,,,
24165,0.892500785,1,1,1,,,,,
25549,0.891716374,1,1,1,,,,,
28852,0.891446287,1,1,1,,,,,
27069,0.891027948,1,1,1,,,,,
26580,0.889936831,1,0,0,,,,,
25122,0.887297475,1,1,1,,,,,
29152,0.88643077,1,1,1,,,,,
29501,0.885940744,1,1,1,,,,,
24026,0.885764416,1,1,1,,,,,
25137,0.885732108,1,1,1,,,,,
29419,0.88564567,1,1,1,,,,,
24751,0.885633739,1,1,1,,,,,
27846,0.885372287,1,1,1,,,,,
29643,0.88473499,1,1,1,,,,,
29155,0.883324792,1,1,1,,,,,
25197,0.882843704,1,1,1,,,,,
28880,0.87991114,1,1,1,,,,,
25249,0.87781322,1,0,0,,,,,
24571,0.876384748,1,1,1,,,,,
29026,0.876123607,1,1,1,,,,,
27557,0.874638133,1,1,1,,,,,
27072,0.873344732,1,1,1,,,,,
25634,0.872116487,1,1,1,,,,,
26850,0.87002294,1,1,1,,,,,
26139,0.869724752,1,1,1,,,,,
29867,0.869438962,1,1,1,,,,,
29825,0.866499037,1,1,1,,,,,
28066,0.865018011,1,1,1,,,,,
24398,0.864138403,1,1,1,,,,,
26281,0.863792817,1,0,0,,,,,
27394,0.863699052,1,1,1,,,,,
27500,0.862789886,1,1,1,,,,,
25798,0.862752223,1,1,1,,,,,
24766,0.861485566,1,1,1,,,,,
27499,0.859372506,1,1,1,,,,,
26507,0.85871845,1,1,1,,,,,
28302,0.857785029,1,0,0,,,,,
28324,0.856628487,1,1,1,,,,,
25511,0.852803146,1,1,1,,,,,
28373,0.852690466,1,1,1,,,,,
29571,0.851772796,1,1,1,,,,,
25044,0.851432496,1,1,1,,,,,
29591,0.850787482,1,1,1,,,,,
28996,0.8501591,1,1,1,,,,,
27537,0.848637711,1,1,1,,,,,
29367,0.848045718,1,1,1,,,,,
29702,0.847226197,1,1,1,,,,,
29800,0.846913334,1,1,1,,,,,
29250,0.846302539,1,1,1,,,,,
25740,0.846079064,1,1,1,,,,,
25875,0.845110137,1,1,1,,,,,
29977,0.844761813,1,1,1,,,,,
25159,0.844719466,1,1,1,,,,,
26686,0.844029568,1,1,1,,,,,
26561,0.843315677,1,0,0,,,,,
28221,0.843088581,1,1,1,,,,,
28055,0.842371218,1,1,1,,,,,
25468,0.840913277,1,1,1,,,,,
28748,0.840152629,1,0,0,,,,,
29139,0.839315837,1,1,1,,,,,
29162,0.838359539,1,1,1,,,,,
28454,0.837904197,1,1,1,,,,,
25461,0.837426565,1,1,1,,,,,
25054,0.837121122,1,1,1,,,,,
26948,0.837044839,1,1,1,,,,,
24042,0.835152458,1,1,1,,,,,
24230,0.834936542,1,1,1,,,,,
28482,0.83395031,1,1,1,,,,,
24759,0.832155588,1,0,0,,,,,
26785,0.831137629,1,1,1,,,,,
25533,0.83091559,1,0,0,,,,,
24974,0.830505263,1,0,0,,,,,
24076,0.829564291,1,0,0,,,,,
25161,0.829368927,1,1,1,,,,,
28460,0.829178475,1,1,1,,,,,
25630,0.829103258,1,1,1,,,,,
27161,0.826864327,1,1,1,,,,,
24939,0.826614358,1,1,1,,,,,
28582,0.826571351,1,0,0,,,,,
24459,0.826506618,1,1,1,,,,,
27916,0.826471336,1,1,1,,,,,
26802,0.825538489,1,1,1,,,,,
29570,0.82545892,1,1,1,,,,,
24156,0.823643607,1,1,1,,,,,
26890,0.823555848,1,1,1,,,,,
28604,0.822932818,1,1,1,,,,,
29745,0.822360482,1,1,1,,,,,
26441,0.822300889,1,0,0,,,,,
24346,0.821915433,1,1,1,,,,,
25033,0.821148922,1,1,1,,,,,
29181,0.82042148,1,1,1,,,,,
27255,0.820411219,1,0,0,,,,,
29727,0.817931568,1,1,1,,,,,
29524,0.817422248,1,1,1,,,,,
25742,0.817398994,1,1,1,,,,,
26455,0.817111447,1,1,1,,,,,
27150,0.815652045,1,1,1,,,,,
28925,0.815604328,1,0,0,,,,,
24168,0.814627716,1,1,1,,,,,
28636,0.814364865,1,1,1,,,,,
29771,0.814290162,1,1,1,,,,,
27660,0.81226613,1,1,1,,,,,
26023,0.812155848,1,0,0,,,,,
26606,0.811831782,1,1,1,,,,,
24698,0.811286926,1,1,1,,,,,
24304,0.81048465,1,1,1,,,,,
25879,0.810477698,1,1,1,,,,,
29939,0.810455495,1,0,0,,,,,
26935,0.809238491,1,1,1,,,,,
25103,0.807768751,1,1,1,,,,,
25531,0.807513894,1,1,1,,,,,
25256,0.806995747,1,1,1,,,,,
29551,0.806779314,1,0,0,,,,,
27217,0.806564619,1,1,1,,,,,
27858,0.805847488,1,1,1,,,,,
24287,0.805822644,1,0,0,,,,,
29580,0.805350039,1,1,1,,,,,
24479,0.80534821,1,1,1,,,,,
26013,0.805030418,1,1,1,,,,,
25025,0.803998526,1,1,1,,,,,
29016,0.803588257,1,1,1,,,,,
27613,0.802698314,1,1,1,,,,,
27453,0.802426807,1,1,1,,,,,
25192,0.801981794,1,1,1,,,,,
27277,0.800556267,1,1,1,,,,,
28592,0.800335833,1,1,1,,,,,
28801,0.798599495,1,1,1,,,,,
29339,0.797745869,1,1,1,,,,,
26565,0.797489959,1,0,0,,,,,
29992,0.796998189,1,1,1,,,,,
27158,0.796221984,1,1,1,,,,,
25317,0.796212406,1,1,1,,,,,
29786,0.796155028,1,1,1,,,,,
26765,0.796103677,1,1,1,,,,,
24423,0.795695791,1,0,0,,,,,
25541,0.795605902,1,1,1,,,,,
25299,0.795197925,1,1,1,,,,,
26648,0.794653358,1,1,1,,,,,
26217,0.794496027,1,1,1,,,,,
27719,0.794233614,1,1,1,,,,,
25263,0.793902043,1,1,1,,,,,
24768,0.792600246,1,1,1,,,,,
25163,0.792532398,1,1,1,,,,,
28900,0.792363689,1,1,1,,,,,
26304,0.791968337,1,0,0,,,,,
27791,0.791560219,1,1,1,,,,,
29828,0.791031267,1,1,1,,,,,
26168,0.790709498,1,1,1,,,,,
24828,0.790013667,1,1,1,,,,,
25575,0.789264355,1,1,1,,,,,
28598,0.788791987,1,1,1,,,,,
29539,0.788497333,1,0,0,,,,,
28243,0.787598101,1,1,1,,,,,
24835,0.787289453,1,1,1,,,,,
27193,0.78721918,1,1,1,,,,,
27242,0.787008972,1,0,0,,,,,
28103,0.786433436,1,1,1,,,,,
27137,0.786161371,1,1,1,,,,,
29225,0.784877515,1,0,0,,,,,
29452,0.783880202,1,1,1,,,,,
28151,0.783876184,1,1,1,,,,,
26641,0.78351292,1,1,1,,,,,
27459,0.783359214,1,0,0,,,,,
25764,0.782485461,1,1,1,,,,,
27449,0.781988288,1,1,1,,,,,
26997,0.781332893,1,1,1,,,,,
24424,0.780472558,1,0,0,,,,,
26859,0.779888152,1,1,1,,,,,
24257,0.77962099,1,0,0,,,,,
24401,0.779346226,1,1,1,,,,,
24298,0.779129119,1,1,1,,,,,
24169,0.778168334,1,0,0,,,,,
29494,0.778043849,1,0,0,,,,,
27260,0.778018005,1,1,1,,,,,
27842,0.777578874,1,0,0,,,,,
27471,0.777207826,1,1,1,,,,,
24025,0.776515018,1,1,1,,,,,
28975,0.776144541,1,1,1,,,,,
26644,0.775601452,1,1,1,,,,,
26664,0.775151577,1,1,1,,,,,
28532,0.774808592,1,1,1,,,,,
24498,0.774774537,1,1,1,,,,,
24599,0.774115873,1,1,1,,,,,
25983,0.773862643,1,0,0,,,,,
29293,0.77369215,1,1,1,,,,,
24449,0.773360703,1,1,1,,,,,
29161,0.773127034,1,0,0,,,,,
29074,0.773028829,1,0,0,,,,,
24967,0.772906179,1,1,1,,,,,
29666,0.772748348,1,0,0,,,,,
27078,0.772267019,1,0,0,,,,,
26171,0.771980463,1,1,1,,,,,
26379,0.771363274,1,1,1,,,,,
25110,0.769632746,1,1,1,,,,,
26911,0.769315109,1,0,0,,,,,
25416,0.767562533,1,1,1,,,,,
26915,0.767545649,1,1,1,,,,,
28645,0.767245366,1,1,1,,,,,
29995,0.764510832,1,1,1,,,,,
24874,0.764489359,1,1,1,,,,,
24012,0.76433932,1,1,1,,,,,
24155,0.763741328,1,1,1,,,,,
24057,0.763393069,1,1,1,,,,,
28077,0.76273736,1,1,1,,,,,
26846,0.762474984,1,1,1,,,,,
25591,0.762371195,1,1,1,,,,,
29498,0.762131333,1,1,1,,,,,
27263,0.760669381,1,1,1,,,,,
28033,0.759336616,1,0,0,,,,,
24675,0.759140795,1,1,1,,,,,
27155,0.758660853,1,1,1,,,,,
27704,0.758162269,1,1,1,,,,,
27215,0.757926307,1,0,0,,,,,
26058,0.757773082,1,1,1,,,,,
24382,0.757500322,1,0,0,,,,,
26871,0.75674585,1,1,1,,,,,
25260,0.756376838,1,1,1,,,,,
29652,0.754927336,1,1,1,,,,,
24472,0.754548254,1,1,1,,,,,
28262,0.754282792,1,1,1,,,,,
26314,0.753012028,1,1,1,,,,,
25427,0.75287384,1,1,1,,,,,
25401,0.752420613,1,1,1,,,,,
26620,0.752084414,1,1,1,,,,,
28058,0.75079967,1,1,1,,,,,
25312,0.750449954,1,0,0,,,,,
29738,0.74911958,1,1,1,,,,,
29736,0.749111417,1,1,1,,,,,
26713,0.748497298,1,0,0,,,,,
25605,0.748161129,1,1,1,,,,,
27264,0.74763403,1,1,1,,,,,
26804,0.747445653,1,1,1,,,,,
25382,0.747179138,1,1,1,,,,,
27658,0.745870872,1,0,0,,,,,
24717,0.745488183,1,1,1,,,,,
24602,0.745276686,1,1,1,,,,,
29623,0.745072605,1,1,1,,,,,
27337,0.744951882,1,1,1,,,,,
27619,0.744390112,1,1,1,,,,,
27212,0.744344551,1,1,1,,,,,
27801,0.744214156,1,1,1,,,,,
26308,0.743583891,1,1,1,,,,,
29689,0.742424546,1,0,0,,,,,
24997,0.742360643,1,1,1,,,,,
28177,0.742318737,1,0,0,,,,,
27485,0.741672987,1,1,1,,,,,
28894,0.740458962,1,0,0,,,,,
24303,0.740263281,1,1,1,,,,,
25913,0.738306606,1,0,0,,,,,
29651,0.737279208,1,1,1,,,,,
27567,0.736208898,1,0,0,,,,,
27049,0.736194828,1,0,0,,,,,
24680,0.735843638,1,1,1,,,,,
26750,0.735824749,1,1,1,,,,,
24934,0.735569066,1,0,0,,,,,
24601,0.735339159,1,1,1,,,,,
29748,0.734039554,1,1,1,,,,,
28504,0.733881394,1,1,1,,,,,
25286,0.733609454,1,1,1,,,,,
29478,0.732747232,1,1,1,,,,,
27665,0.731034734,1,1,1,,,,,
26151,0.730545013,1,1,1,,,,,
28062,0.729648891,1,1,1,,,,,
24093,0.729110182,1,0,0,,,,,
29897,0.726202136,1,1,1,,,,,
29177,0.726061262,1,1,1,,,,,
24237,0.724536016,1,1,1,,,,,
28684,0.724325514,1,1,1,,,,,
27840,0.724118137,1,1,1,,,,,
29604,0.72381466,1,0,0,,,,,
29310,0.723545038,1,1,1,,,,,
25155,0.722862081,1,1,1,,,,,
26681,0.722561211,1,1,1,,,,,
28100,0.722212738,1,1,1,,,,,
26035,0.721942569,1,1,1,,,,,
26095,0.721896048,1,1,1,,,,,
29557,0.720839776,1,1,1,,,,,
27631,0.720827526,1,1,1,,,,,
27684,0.719414727,1,1,1,,,,,
26688,0.719362504,1,0,0,,,,,
26741,0.718810654,1,1,1,,,,,
24818,0.718748605,1,1,1,,,,,
29053,0.718551946,1,1,1,,,,,
25585,0.71851425,1,1,1,,,,,
29414,0.71735155,1,1,1,,,,,
29202,0.71642745,1,1,1,,,,,
27441,0.715846613,1,1,1,,,,,
24160,0.714160514,1,0,0,,,,,
25996,0.714020299,1,1,1,,,,,
24342,0.713802338,1,1,1,,,,,
26099,0.713644972,1,0,0,,,,,
27632,0.713640208,1,1,1,,,,,
29549,0.711920865,1,1,1,,,,,
25934,0.70908764,1,1,1,,,,,
27749,0.70896515,1,1,1,,,,,
27179,0.708946974,1,1,1,,,,,
24127,0.708853636,1,1,1,,,,,
28290,0.706225021,1,1,1,,,,,
24198,0.705793226,1,1,1,,,,,
25384,0.705547337,1,0,0,,,,,
27654,0.704804468,1,1,1,,,,,
27676,0.703096588,1,0,0,,,,,
26651,0.702771144,1,0,0,,,,,
27385,0.702704322,1,1,1,,,,,
28605,0.702377614,1,1,1,,,,,
26391,0.701480625,1,1,1,,,,,
26501,0.701258702,1,1,1,,,,,
27721,0.701016046,1,1,1,,,,,
28443,0.700759734,1,0,0,,,,,
26774,0.700256648,1,1,1,,,,,
29849,0.7002327,1,1,1,,,,,
28171,0.699966297,1,1,1,,,,,
26943,0.699910347,1,1,1,,,,,
29109,0.699277404,1,1,1,,,,,
27580,0.699103259,1,1,1,,,,,
24166,0.698566306,1,1,1,,,,,
29269,0.69846069,1,1,1,,,,,
24761,0.698102952,1,1,1,,,,,
27550,0.69779765,1,1,1,,,,,
27083,0.697705442,1,1,1,,,,,
27737,0.69759846,1,1,1,,,,,
29505,0.696437147,1,0,0,,,,,
29866,0.696146066,1,1,1,,,,,
29772,0.695278298,1,1,1,,,,,
24907,0.694089483,1,0,0,,,,,
27268,0.693971373,1,1,1,,,,,
25728,0.693469651,1,1,1,,,,,
26827,0.693278853,1,1,1,,,,,
29844,0.69268664,1,1,1,,,,,
25421,0.692433224,1,1,1,,,,,
26780,0.691814916,1,0,0,,,,,
29615,0.691227811,1,1,1,,,,,
27054,0.689805707,1,1,1,,,,,
25679,0.689642999,1,1,1,,,,,
25287,0.688701577,1,0,0,,,,,
26786,0.688258667,1,0,0,,,,,
25570,0.688155611,1,1,1,,,,,
27930,0.687607764,1,1,1,,,,,
25588,0.687526961,1,1,1,,,,,
28980,0.686525025,1,1,1,,,,,
28377,0.686461186,1,0,0,,,,,
26512,0.686051994,1,0,0,,,,,
29779,0.685919792,1,1,1,,,,,
24677,0.684798379,1,0,0,,,,,
28816,0.683948161,1,1,1,,,,,
27581,0.683726506,1,1,1,,,,,
24989,0.683567817,1,1,1,,,,,
25364,0.682218402,1,0,0,,,,,
29110,0.682154142,1,1,1,,,,,
27483,0.68129877,1,0,0,,,,,
29916,0.679463359,1,0,0,,,,,
27724,0.67863962,1,0,0,,,,,
24021,0.678581958,1,1,1,,,,,
27354,0.678438779,1,1,1,,,,,
29313,0.678165686,1,1,1,,,,,
27859,0.677838959,1,1,1,,,,,
28493,0.677081845,1,1,1,,,,,
26063,0.676745071,1,0,0,,,,,
24035,0.67640192,1,1,1,,,,,
26531,0.675780457,1,1,1,,,,,
25737,0.675363057,1,1,1,,,,,
25177,0.674758173,1,0,0,,,,,
26589,0.674007584,1,1,1,,,,,
24253,0.673884284,1,1,1,,,,,
29671,0.67352414,1,0,0,,,,,
28298,0.673207344,1,1,1,,,,,
27025,0.672970036,1,0,0,,,,,
26102,0.672764976,1,0,0,,,,,
25201,0.672049154,1,0,0,,,,,
29214,0.669794157,1,1,1,,,,,
24802,0.669740824,1,0,0,,,,,
27760,0.669637082,1,1,1,,,,,
28288,0.669562528,1,1,1,,,,,
27774,0.668543105,1,1,1,,,,,
25007,0.667931538,1,1,1,,,,,
24559,0.667635493,1,1,1,,,,,
26359,0.666858433,1,0,0,,,,,
24014,0.666026549,1,1,1,,,,,
25070,0.665803769,1,1,1,,,,,
26087,0.665660489,1,1,1,,,,,
27800,0.664702705,1,1,1,,,,,
26395,0.664542148,1,0,0,,,,,
24360,0.663540071,1,1,1,,,,,
27810,0.663447478,1,0,0,,,,,
24769,0.663413695,1,1,1,,,,,
27468,0.663162306,1,1,1,,,,,
27616,0.661839486,1,1,1,,,,,
25916,0.661472614,1,0,0,,,,,
28020,0.661256515,1,1,1,,,,,
25194,0.660706357,1,1,1,,,,,
27702,0.660058749,1,1,1,,,,,
25885,0.65898483,1,1,1,,,,,
26636,0.65769954,1,1,1,,,,,
27440,0.657022506,1,0,0,,,,,
25898,0.656216291,1,1,1,,,,,
24678,0.655556008,1,1,1,,,,,
29287,0.655458156,1,1,1,,,,,
25744,0.655456324,1,1,1,,,,,
29679,0.655094537,1,1,1,,,,,
27157,0.655038096,1,1,1,,,,,
27368,0.654993753,1,0,0,,,,,
26301,0.654602149,1,1,1,,,,,
26149,0.65427727,1,1,1,,,,,
27958,0.654067795,1,0,0,,,,,
29467,0.653855362,1,0,0,,,,,
26747,0.653038062,1,1,1,,,,,
26847,0.652997513,1,1,1,,,,,
29005,0.652962574,1,0,0,,,,,
25870,0.652555628,1,1,1,,,,,
27373,0.65216922,1,1,1,,,,,
28533,0.651755619,1,1,1,,,,,
28116,0.651196246,1,1,1,,,,,
25221,0.650652819,1,0,0,,,,,
28350,0.649517122,1,1,1,,,,,
26044,0.649329036,1,1,1,,,,,
25009,0.649115755,1,0,0,,,,,
26348,0.64798062,1,0,0,,,,,
26517,0.64761364,1,0,0,,,,,
24272,0.6470547,1,1,1,,,,,
25126,0.646740042,1,0,0,,,,,
24666,0.646475624,1,0,0,,,,,
25943,0.645505971,1,0,0,,,,,
26659,0.645146863,1,1,1,,,,,
27048,0.643895049,1,1,1,,,,,
28308,0.643703602,1,1,1,,,,,
29576,0.643112996,1,1,1,,,,,
29967,0.641873212,1,1,1,,,,,
24969,0.641449158,1,1,1,,,,,
24900,0.639274457,1,1,1,,,,,
27196,0.638606227,1,1,1,,,,,
26133,0.638218931,1,0,0,,,,,
25253,0.637674637,1,1,1,,,,,
25258,0.637293827,1,1,1,,,,,
24330,0.637263281,1,1,1,,,,,
29296,0.634323751,1,0,0,,,,,
29357,0.633715679,1,1,1,,,,,
29392,0.633176001,1,1,1,,,,,
26514,0.633006347,1,1,1,,,,,
29156,0.63297314,1,1,1,,,,,
29644,0.632286959,1,1,1,,,,,
27926,0.631793583,1,0,0,,,,,
29079,0.63171472,1,0,0,,,,,
27014,0.631420788,1,1,1,,,,,
28150,0.631398415,1,0,0,,,,,
25284,0.631138798,1,0,0,,,,,
27614,0.629640566,1,1,1,,,,,
26447,0.629633949,1,1,1,,,,,
26926,0.629058013,1,1,1,,,,,
25581,0.628998737,1,0,0,,,,,
